user_idx,user_id,precision_at_k,recall_at_k,true_positives,recommended,relevant_in_test
0,39,0.1,0.25,1,10,4
1,29,0.2,0.6666666666666666,2,10,3
2,15,0.3,0.75,3,10,4
3,43,0.2,0.6666666666666666,2,10,3
4,8,0.1,0.2,1,10,5
5,21,0.2,0.5,2,10,4
6,19,0.1,0.25,1,10,4
7,23,0.3,0.6,3,10,5
8,11,0.3,0.75,3,10,4
9,24,0.2,0.5,2,10,4
10,36,0.1,0.2,1,10,5
11,40,0.1,0.25,1,10,4
12,3,0.2,0.5,2,10,4
13,22,0.1,0.2,1,10,5
14,2,0.2,0.4,2,10,5
15,44,0.2,0.4,2,10,5
16,30,0.1,0.25,1,10,4
17,38,0.3,1.0,3,10,3
18,33,0.1,0.25,1,10,4
19,12,0.3,0.6,3,10,5
20,25,0.1,0.2,1,10,5
21,49,0.2,0.3333333333333333,2,10,6
22,27,0.1,0.3333333333333333,1,10,3
23,42,0.0,0.0,0,10,4
24,28,0.3,0.5,3,10,6
25,16,0.3,0.6,3,10,5
26,47,0.2,0.3333333333333333,2,10,6
27,37,0.2,0.4,2,10,5
28,7,0.1,0.3333333333333333,1,10,3
29,9,0.1,0.25,1,10,4
30,18,0.0,0.0,0,10,4
31,4,0.0,0.0,0,10,4
32,14,0.0,0.0,0,10,4
33,50,0.1,0.25,1,10,4
34,26,0.2,0.3333333333333333,2,10,6
35,20,0.1,0.5,1,10,2
36,35,0.1,0.2,1,10,5
37,17,0.2,0.4,2,10,5
38,6,0.0,0.0,0,10,2
39,34,0.1,0.25,1,10,4
40,10,0.0,0.0,0,10,4
41,31,0.0,0.0,0,10,3
42,48,0.1,0.2,1,10,5
43,45,0.0,0.0,0,10,5
44,41,0.1,0.3333333333333333,1,10,3
45,1,0.1,0.2,1,10,5
46,5,0.3,0.6,3,10,5
47,13,0.0,0.0,0,10,4
48,32,0.1,0.25,1,10,4
49,46,0.0,0.0,0,10,3
